2025-04-03 01:03:20,471 [DEBUG] Scanner:251 - 探测任务被取消: http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001022/index.m3u8
025-04-03 01:03:06,482 [INFO] Main:111 - 加载Scanner配置: address=http://192.168.50.1:20231/rtp/239.21.1.[1-20]:5002, timeout=25, threads=20
2025-04-03 01:03:07,030 [ERROR] Main:1351 - 恢复分隔条位置失败: 'MainWindow' object has no attribute 'config_file'
2025-04-03 01:03:20,404 [INFO] Main:1018 - 正在验证频道: CCTV1 - http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001022/index.m3u8
2025-04-03 01:04:42,115 [INFO] Main:1321 - 保存分隔条位置: left=[351, 339], right=[463, 216]
2025-04-03 01:04:42,136 [INFO] Main:1321 - 保存分隔条位置: left=[348, 342], right=[463, 216]
2025-04-03 01:04:42,147 [INFO] Main:1321 - 保存分隔条位置: left=[344, 346], right=[463, 216]
2025-04-03 01:04:42,158 [INFO] Main:1321 - 保存分隔条位置: left=[341, 349], right=[463, 216]
2025-04-03 01:04:42,171 [INFO] Main:1321 - 保存分隔条位置: left=[337, 353], right=[463, 216]
2025-04-03 01:04:42,183 [INFO] Main:1321 - 保存分隔条位置: left=[333, 357], right=[463, 216]
2025-04-03 01:04:42,194 [INFO] Main:1321 - 保存分隔条位置: left=[331, 359], right=[463, 216]
2025-04-03 01:04:42,206 [INFO] Main:1321 - 保存分隔条位置: left=[329, 361], right=[463, 216]
2025-04-03 01:04:42,218 [INFO] Main:1321 - 保存分隔条位置: left=[326, 364], right=[463, 216]
2025-04-03 01:04:42,229 [INFO] Main:1321 - 保存分隔条位置: left=[323, 367], right=[463, 216]
2025-04-03 01:04:42,240 [INFO] Main:1321 - 保存分隔条位置: left=[318, 372], right=[463, 216]
2025-04-03 01:04:42,252 [INFO] Main:1321 - 保存分隔条位置: left=[316, 374], right=[463, 216]
2025-04-03 01:04:42,265 [INFO] Main:1321 - 保存分隔条位置: left=[313, 377], right=[463, 216]
2025-04-03 01:04:42,277 [INFO] Main:1321 - 保存分隔条位置: left=[310, 380], right=[463, 216]
2025-04-03 01:04:42,287 [INFO] Main:1321 - 保存分隔条位置: left=[309, 381], right=[463, 216]
